,title,timestamp,revid,prediction,B,C,FA,GA,Start,Stub
0,.pm,2004-12-31 00:00:00,8170740,Stub,2.8679160320258487e-05,0.007958407726117127,1.023471615720524e-05,0.0,0.005117433686422038,0.9868852447109833
1,.pm,2005-12-31 00:00:00,16984781,Stub,0.007463333408832031,0.008591068446652505,0.0009526950336175225,0.0,0.052998425229242065,0.9299944778816563
2,.pm,2006-12-31 00:00:00,34002528,Stub,0.001003119172598797,0.0006892777736472467,1.023471615720524e-05,0.0,0.003567112279242401,0.9947302560583543
3,.pm,2007-12-31 00:00:00,112942278,Stub,0.016984877641520072,0.005880821175602144,0.0,0.0,0.13672818516143953,0.8404061160214384
4,.pm,2008-12-31 00:00:00,183361119,Stub,0.010987255029102388,0.017119168621207534,0.002181948164121068,0.0,0.2686756975424172,0.7010359306431516
5,.pm,2009-12-31 00:00:00,272894939,Stub,0.015265925985205176,0.00689285416398258,0.0005208333333333333,0.0003125,0.25530981712158923,0.7216980693958901
6,.pm,2010-12-31 00:00:00,340683722,Stub,0.01609433390158279,0.01341717389723332,0.0007612179487179487,0.0003125,0.28644804623285386,0.6829667280196124
7,.pm,2011-12-31 00:00:00,405428738,Stub,0.023491006288405655,0.034524970505844306,0.002300805001727905,7.44047619047619e-05,0.4061238476479104,0.533484965794207
8,.pm,2013-12-31 00:00:00,532657905,Stub,0.022195393256543634,0.03002625295323848,0.002300805001727905,0.0,0.38230876228163846,0.5631687865068516
9,11th Alpini Regiment,2007-12-31 00:00:00,130077020,Stub,0.0641697052522527,0.024820392497686087,0.0014074865407028622,0.00026041666666666666,0.1645279732006801,0.7448140258420116
10,11th Alpini Regiment,2008-12-31 00:00:00,196765106,Stub,0.00123262694131961,0.0027848325747706344,6.542759029337834e-05,0.0,0.047365764120430406,0.9485513487731859
11,11th Alpini Regiment,2009-12-31 00:00:00,287249433,Start,0.21877382533478623,0.161177986778088,0.0019046843518108997,0.00378133910637707,0.5581248784611456,0.05623728596779211
12,11th Alpini Regiment,2010-12-31 00:00:00,345072304,Start,0.22101503406931303,0.18464160979949032,0.0017558748280013757,0.0033101089476469106,0.5270230588017716,0.06225431355377666
13,11th Alpini Regiment,2011-12-31 00:00:00,429182990,Start,0.23833442006561328,0.18850660323926458,0.0017558748280013757,0.0038309422809802442,0.5097259336045138,0.05784622598162657
14,11th Alpini Regiment,2012-12-31 00:00:00,474934897,Start,0.21132863582134434,0.25290415116753706,0.0003195816864295125,0.002909658276506102,0.47563360408612854,0.05690436896205471
15,11th Alpini Regiment,2013-12-31 00:00:00,539544599,Start,0.14792338303634478,0.20887445392668397,0.0010097250134971816,0.0044097819810609215,0.5555117180934186,0.08227093794899466
16,11th Alpini Regiment,2014-12-31 00:00:00,623480029,Start,0.13290487535993645,0.1796022714175726,0.0003895221626199887,0.002801443370497079,0.6107546013175078,0.073547286371866
17,14th Manitoba Legislature,2012-12-31 00:00:00,526008797,Start,0.18974221277854536,0.3072478731128851,0.015110750930237907,0.06775908660511758,0.3627661500632162,0.057373926509998306
18,14th Manitoba Legislature,2013-12-31 00:00:00,559566830,Start,0.20088750911893566,0.30949444721234526,0.017090606760183494,0.07412886930647984,0.3470665152761911,0.05133205232586502
19,14th Manitoba Legislature,2014-12-31 00:00:00,601956161,Start,0.20133943219585876,0.31069637028926833,0.01781176060633734,0.07225386930647984,0.3465665152761911,0.05133205232586502
20,14th Manitoba Legislature,2015-12-31 00:00:00,654661491,C,0.20312081570535806,0.328900766764572,0.01048947120592294,0.09809160399668668,0.31923075078079577,0.040166591546665006
21,1535 Päijänne,2008-12-31 00:00:00,212948757,Stub,0.002602561301574767,0.012092849870837174,0.0037610449170686665,0.0,0.10338333225761917,0.8781602116529003
22,1535 Päijänne,2009-12-31 00:00:00,264434531,Stub,0.0028106998920702296,0.003223559356851748,0.0,0.0,0.03846385373674391,0.9555018870143341
23,1535 Päijänne,2010-12-31 00:00:00,336856666,Stub,0.003490434895853515,0.0015553527243721585,0.0,0.0,0.05934596075905999,0.9356082516207145
24,1535 Päijänne,2011-12-31 00:00:00,407664379,Stub,0.004186289174585305,0.0021597282465108383,0.0,0.0,0.07119997821108077,0.9224540043678235
25,1535 Päijänne,2012-12-31 00:00:00,476813404,Stub,0.005344504843128517,0.00532557247079752,0.0,0.00034007352941176473,0.10488106906831898,0.8841087800883429
26,1535 Päijänne,2013-12-31 00:00:00,539633945,Stub,0.000837189550140581,0.005300082034572998,0.0002403846153846154,0.0,0.015878823469852945,0.9777435203300484
27,1535 Päijänne,2015-12-31 00:00:00,668193090,Stub,0.001227814550140581,0.00593864054937677,0.0002403846153846154,0.0,0.013944345820181888,0.9786488144649157
28,1667 in France,2015-12-31 00:00:00,677814537,Stub,0.013501812660355425,0.06731021067434426,0.0,0.0003125,0.18049613684237686,0.7383793398229239
29,172nd Infantry Brigade (United States),2005-12-31 00:00:00,27666307,Start,0.15656867320146775,0.16074404976132914,0.004528833665528228,0.006685982897083399,0.5254916835409846,0.14598077693360706
30,172nd Infantry Brigade (United States),2006-12-31 00:00:00,37746295,Start,0.3743520046207399,0.14586691075725225,0.004780378235577034,0.005874960261485679,0.4453256017776696,0.023800144347276085
31,172nd Infantry Brigade (United States),2007-12-31 00:00:00,98242435,B,0.4961231834880005,0.17335954624283845,0.004609205683290351,0.002490503777268483,0.3103686532819138,0.013048907526688466
32,172nd Infantry Brigade (United States),2008-12-31 00:00:00,182577492,B,0.5265133836552723,0.1787886778875809,0.013838521969448958,0.002056013194751585,0.2601441680451878,0.018659235247758636
