,title,timestamp,edits
99,1980 Ohio State Buckeyes football team,2010-12-31 00:00:00,3
100,1980 Ohio State Buckeyes football team,2011-12-31 00:00:00,3
101,1980 Ohio State Buckeyes football team,2012-12-31 00:00:00,5
102,1980 Ohio State Buckeyes football team,2013-12-31 00:00:00,14
103,1980 Ohio State Buckeyes football team,2014-12-31 00:00:00,35
104,1980 Ohio State Buckeyes football team,2015-12-31 00:00:00,15
105,1981 Canadian Ladies Curling Association Championship,2012-12-31 00:00:00,11
106,1981 Canadian Ladies Curling Association Championship,2013-12-31 00:00:00,4
107,1986 European Super Cup,2008-12-31 00:00:00,4
108,1986 European Super Cup,2009-12-31 00:00:00,12
109,1986 European Super Cup,2010-12-31 00:00:00,24
110,1986 European Super Cup,2011-12-31 00:00:00,9
111,1986 European Super Cup,2012-12-31 00:00:00,8
112,1986 European Super Cup,2013-12-31 00:00:00,4
113,1986 European Super Cup,2014-12-31 00:00:00,10
114,1986 European Super Cup,2015-12-31 00:00:00,2
115,1988 WTA German Open – Singles,2009-12-31 00:00:00,1
116,1988 WTA German Open – Singles,2010-12-31 00:00:00,4
117,1988 WTA German Open – Singles,2012-12-31 00:00:00,1
118,1988 WTA German Open – Singles,2013-12-31 00:00:00,3
119,1988 WTA German Open – Singles,2016-12-31 00:00:00,2
120,1989 TFL Statewide League season,2009-12-31 00:00:00,58
121,1989 TFL Statewide League season,2010-12-31 00:00:00,18
122,1989 TFL Statewide League season,2011-12-31 00:00:00,8
123,1989 TFL Statewide League season,2012-12-31 00:00:00,2
124,1989 TFL Statewide League season,2013-12-31 00:00:00,4
125,1989 TFL Statewide League season,2015-12-31 00:00:00,2
126,1989 TFL Statewide League season,2016-12-31 00:00:00,1
127,1993 FIVB Volleyball World League,2008-12-31 00:00:00,14
128,1993 FIVB Volleyball World League,2009-12-31 00:00:00,5
129,1993 FIVB Volleyball World League,2010-12-31 00:00:00,6
130,1993 FIVB Volleyball World League,2011-12-31 00:00:00,4
131,1993 FIVB Volleyball World League,2012-12-31 00:00:00,10
132,1993 FIVB Volleyball World League,2013-12-31 00:00:00,5
133,1993 FIVB Volleyball World League,2014-12-31 00:00:00,12
134,1993 FIVB Volleyball World League,2015-12-31 00:00:00,1
135,1993 FIVB Volleyball World League,2016-12-31 00:00:00,2
136,1993–94 Mexican Primera División season,2009-12-31 00:00:00,3
137,1993–94 Mexican Primera División season,2010-12-31 00:00:00,8
138,1993–94 Mexican Primera División season,2011-12-31 00:00:00,2
139,1993–94 Mexican Primera División season,2012-12-31 00:00:00,3
140,1993–94 Mexican Primera División season,2013-12-31 00:00:00,6
141,1993–94 Mexican Primera División season,2014-12-31 00:00:00,12
142,1993–94 Mexican Primera División season,2015-12-31 00:00:00,5
143,1993–94 Mexican Primera División season,2016-12-31 00:00:00,19
144,1995 3. Divisjon,2010-12-31 00:00:00,1
145,1995 3. Divisjon,2011-12-31 00:00:00,1
146,1995 3. Divisjon,2012-12-31 00:00:00,2
147,1995 3. Divisjon,2013-12-31 00:00:00,5
148,1995 3. Divisjon,2015-12-31 00:00:00,1
149,1995–96 Cypriot Cup,2015-12-31 00:00:00,10
150,1995–96 Cypriot Cup,2016-12-31 00:00:00,5
151,1996 CA-TennisTrophy – Singles,2009-12-31 00:00:00,3
